COUNTY NAME,GEOID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Grand Total
ANDROSCOGGIN ,23001,5.5,8.4,8.6,8.1,7.7,6.7,5.4,4.2,3.6,3.2,3.3,64.7
AROOSTOOK ,23003,7,9.7,9.7,9.8,9.3,8.6,7.6,5.9,5.4,4.9,4.8,82.7
CUMBERLAND ,23005,4.2,6.5,6.5,6.3,6,5.3,4.4,3.4,2.9,2.6,2.7,50.8
FRANKLIN ,23007,7.1,10.4,9.2,9.1,8.7,7.7,6.5,4.8,4.5,4.2,4,76.2
HANCOCK ,23009,6.1,8.7,8.8,8.9,8.7,7.9,6.8,5.6,4.5,3.9,3.8,73.7
KENNEBEC ,23011,5.3,7.6,7.6,7.5,7.2,6.2,5.4,4.2,3.6,3.3,3.2,61.1
KNOX ,23013,5.3,7.9,7.4,7.3,6.9,5.9,5.1,4.1,3.5,3.2,3.2,59.8
LINCOLN ,23015,5.2,7.6,7.6,7.8,7.3,6.8,5.9,4.4,3.7,3.3,3.3,62.9
OXFORD ,23017,6.9,10.7,10.7,10.5,9.7,8.3,7,5.4,4.6,3.9,4,81.7
PENOBSCOT ,23019,5.8,8.2,8.5,8.3,7.8,6.8,6.1,4.7,4.3,3.8,3.8,68.1
PISCATAQUIS ,23021,8.4,12.2,10.7,10.2,9.5,8.8,7.3,5.5,5,4.1,4.2,85.9
SAGADAHOC ,23023,4.8,7.1,6.7,6.8,6.6,5.6,4.5,3.5,3,2.8,2.7,54.1
SOMERSET ,23025,7.9,10.9,11.1,10.9,10,9.2,7.8,6.5,5.6,5,4.8,89.7
WALDO ,23027,6.2,8.9,8.5,8.3,8.3,7.2,6,5.2,4.2,3.7,3.5,70
WASHINGTON ,23029,8.5,11,10.8,10.6,10.3,9.3,8.1,6.4,5.5,5.1,4.9,90.5
YORK ,23031,4.9,7.7,8,7.3,6.9,6.3,5.1,3.9,3.4,3,3,59.5
